bench,label,horizon,n,ic,t,spread,win_diff,hit,type
wind_all,m1_m2_spread,3,30,0.146,0.78,5.38,0.4,0.6,indicator
wind_all,special_bond_issuance,6,20,0.145,0.62,7.45,0.17,0.65,indicator
sse,industrial_momentum,3,37,-0.145,-0.87,-1.58,-0.17,0.351,indicator
wind_all,pmi_new_export_orders,3,30,-0.138,-0.73,1.75,-0.2,0.5,indicator
wind_all,imports,1,56,0.137,1.02,2.45,0.33,0.589,indicator
hs300,ppi,3,54,0.137,1.0,0.25,0.0,0.611,indicator
wind_all,pmi_production,1,32,-0.134,-0.74,-0.91,-0.2,0.469,indicator
sse,pmi_expectation,1,32,-0.134,-0.74,-2.58,0.1,0.469,indicator
hs300,m1_m2_spread,6,27,0.133,0.67,4.18,0.22,0.667,indicator
sse,index_pe_ttm,1,12,0.133,0.42,-0.63,-0.25,0.333,indicator
sse,equity_risk_premium,1,12,0.133,0.42,-0.63,-0.25,0.333,indicator
sse,exports,1,56,0.132,0.98,1.02,0.28,0.607,indicator
wind_all,resale_house_breadth,3,54,-0.13,-0.94,-3.99,-0.22,0.407,indicator
wind_all,imports,3,54,0.129,0.94,4.68,0.17,0.519,indicator
wind_all,equity_risk_premium,1,12,0.126,0.4,-1.24,-0.25,0.333,indicator
hs300,pmi_headline,1,32,-0.126,-0.69,-2.25,-0.1,0.406,indicator
hs300,imports,1,56,0.124,0.92,2.55,0.28,0.607,indicator
sse,new_high_breadth,1,12,-0.119,-0.38,-2.92,-0.5,0.25,indicator
wind_all,ppi,3,54,0.115,0.84,0.07,0.11,0.556,indicator
wind_all,m1_m2_spread,6,27,0.115,0.58,3.68,0.11,0.593,indicator
hs300,cpi,6,51,-0.113,-0.8,-3.49,-0.29,0.392,indicator
sse,pmi_headline,1,32,-0.111,-0.61,-1.62,-0.1,0.438,indicator
hs300,cpi,1,56,-0.107,-0.79,-1.37,0.06,0.518,indicator
sse,core_cpi,1,32,0.106,0.59,-0.89,0.1,0.562,indicator
sse,industrial_revenue,3,27,-0.105,-0.53,0.55,0.11,0.593,indicator
hs300,fai_equipment,3,27,0.102,0.51,2.16,0.0,0.556,indicator
sse,imports,3,54,0.102,0.74,2.7,0.0,0.481,indicator
hs300,industrial_momentum,3,37,-0.099,-0.59,-1.46,-0.17,0.378,indicator
sse,ppi,3,54,0.098,0.71,-0.4,0.0,0.519,indicator
sse,fai_equipment,1,28,0.096,0.49,0.98,0.0,0.464,indicator
sse,cpi,6,51,-0.096,-0.67,-2.67,0.0,0.431,indicator
sse,gdp,3,18,0.094,0.38,1.82,0.0,0.389,indicator
sse,cpi,1,56,-0.093,-0.68,-1.31,-0.11,0.482,indicator
hs300,special_bond_issuance,6,20,-0.088,-0.37,2.57,0.0,0.6,indicator
wind_all,fai_equipment,3,27,0.085,0.43,1.0,0.0,0.481,indicator
sse,pmi_new_export_orders,1,32,0.085,0.47,2.31,0.0,0.531,indicator
sse,core_cpi,3,30,-0.085,-0.45,-2.3,0.0,0.5,indicator
sse,price_spread,1,32,0.085,0.47,2.77,0.2,0.562,indicator
hs300,equity_risk_premium,1,12,-0.077,-0.24,-1.11,-0.25,0.333,indicator
wind_all,price_spread,6,27,0.075,0.38,3.12,0.11,0.556,indicator
hs300,gdp,3,18,0.075,0.3,3.7,0.0,0.5,indicator
sse,industrial_revenue,6,24,0.075,0.35,2.65,-0.12,0.667,indicator
hs300,industrial_inventory,6,24,0.068,0.32,3.64,0.12,0.667,indicator
sse,imports,1,56,0.066,0.49,1.58,0.11,0.536,indicator
wind_all,core_cpi,3,30,-0.065,-0.34,-2.82,-0.1,0.467,indicator
wind_all,property_loans,1,28,0.065,0.33,2.53,-0.11,0.464,indicator
sse,pmi_production,6,27,0.065,0.32,0.22,0.22,0.519,indicator
hs300,price_spread,6,27,0.057,0.29,2.38,0.0,0.556,indicator
sse,ppi,1,56,-0.055,-0.41,-0.66,0.11,0.5,indicator
sse,order_inventory_spread,6,27,0.053,0.27,-0.71,0.0,0.556,indicator
hs300,order_inventory_spread,6,27,0.052,0.26,-0.71,-0.11,0.519,indicator
sse,pmi_headline,6,27,0.049,0.24,-0.57,0.11,0.593,indicator
sse,special_bond_issuance,6,20,0.048,0.2,5.19,0.0,0.7,indicator
hs300,pmi_production,6,27,0.046,0.23,-1.05,-0.11,0.407,indicator
wind_all,fai_equipment,1,28,-0.042,-0.22,0.75,-0.11,0.429,indicator
hs300,pmi_production,1,32,-0.042,-0.23,-0.41,-0.1,0.469,indicator
wind_all,cpi,3,54,0.039,0.28,-0.98,0.06,0.463,indicator
wind_all,pmi_new_export_orders,1,32,0.037,0.2,2.36,-0.1,0.438,indicator
hs300,cpi,3,54,-0.035,-0.25,-1.85,0.0,0.519,indicator
sse,cpi,3,54,-0.035,-0.26,-1.85,0.0,0.5,indicator
hs300,pmi_headline,6,27,0.033,0.17,-1.41,-0.11,0.481,indicator
wind_all,cpi,6,51,-0.032,-0.22,-1.55,0.0,0.471,indicator
wind_all,price_spread,1,32,0.024,0.13,3.82,0.1,0.531,indicator
hs300,industrial_revenue,3,27,0.024,0.12,3.51,0.33,0.593,indicator
hs300,pmi_new_export_orders,1,32,0.023,0.13,2.33,0.0,0.5,indicator
hs300,core_cpi,3,30,0.022,0.12,-1.04,0.2,0.567,indicator
hs300,index_pe_ttm,1,12,0.021,0.07,-1.11,-0.25,0.333,indicator
wind_all,gdp,3,18,0.02,0.08,3.66,0.0,0.389,indicator
wind_all,cpi,1,56,-0.019,-0.14,-1.19,0.06,0.536,indicator
sse,pmi_production,1,32,-0.019,-0.1,-0.1,0.0,0.5,indicator
wind_all,ppi,1,56,0.015,0.11,-0.61,0.0,0.518,indicator
hs300,fai_equipment,1,28,0.012,0.06,0.6,-0.11,0.429,indicator
wind_all,industrial_revenue,6,24,0.011,0.05,0.99,-0.12,0.625,indicator
hs300,ppi,1,56,-0.01,-0.08,-0.49,0.0,0.536,indicator
wind_all,pmi_headline,6,27,0.009,0.04,-0.74,0.11,0.556,indicator
wind_all,industrial_inventory,6,24,0.009,0.04,3.69,0.25,0.667,indicator
hs300,price_spread,1,32,0.007,0.04,2.63,0.1,0.531,indicator
wind_all,order_inventory_spread,6,27,0.006,0.03,-1.02,0.0,0.593,indicator
wind_all,pmi_production,6,27,-0.002,-0.01,-1.21,0.0,0.481,indicator
sse,industrial_inventory,6,24,0.002,0.01,0.57,0.0,0.625,indicator
